caller,receiver,date,duration
P019,P007,2026-04-01,101
P002,P022,2026-01-30,821
P010,P003,2026-01-30,133
P013,P009,2026-02-28,680
P012,P006,2026-02-17,393
P007,P022,2026-02-04,748
P022,P021,2026-01-10,653
P021,P006,2026-03-10,776
P008,P006,2026-03-01,418
P009,P021,2026-03-30,600
P008,P022,2026-02-11,893
P002,P008,2026-01-05,854
P011,P013,2026-02-04,97
P007,P019,2026-02-10,247
P021,P016,2026-02-20,688
P015,P005,2026-02-03,172
P008,P024,2026-03-13,581
P009,P024,2026-03-16,468
P019,P013,2026-02-16,254
P005,P017,2026-03-05,123
P025,P002,2026-01-15,186
P021,P006,2026-03-29,462
P020,P003,2026-02-19,420
P020,P015,2026-03-09,287
P018,P001,2026-03-29,768
P004,P022,2026-03-10,798
P009,P025,2026-03-24,378
P004,P010,2026-02-25,191
P015,P001,2026-02-03,542
P025,P006,2026-03-06,138
P021,P010,2026-03-23,549
P020,P007,2026-01-20,412
P025,P006,2026-03-11,827
P017,P001,2026-03-18,361
P016,P001,2026-01-15,401
P026,P010,2026-01-31,89
P008,P019,2026-01-11,117
P024,P016,2026-01-09,808
P018,P025,2026-01-17,161
P022,P016,2026-03-12,199
P009,P017,2026-03-19,463
P007,P018,2026-03-30,235
P023,P010,2026-02-21,717
P021,P012,2026-02-26,559
P015,P004,2026-02-01,260
P003,P011,2026-01-03,632
P018,P008,2026-03-17,255
P001,P003,2026-04-01,676
P002,P008,2026-01-09,62
P011,P003,2026-03-07,273
P009,P022,2026-03-04,249
P018,P005,2026-03-15,620
P016,P008,2026-03-02,856
P014,P007,2026-01-13,129
P022,P014,2026-02-15,463
P014,P015,2026-01-07,719
P004,P002,2026-02-21,775
P011,P026,2026-01-14,284
P018,P015,2026-01-18,462
P006,P009,2026-03-01,285
P003,P015,2026-03-12,130
P002,P021,2026-03-11,886
P001,P003,2026-01-31,200
P014,P016,2026-03-03,248
P013,P002,2026-01-22,418
P001,P013,2026-02-03,832
P026,P015,2026-02-06,463
P023,P024,2026-03-13,707
P023,P016,2026-01-20,224
P010,P007,2026-01-08,623
P024,P018,2026-01-08,795
P011,P002,2026-01-07,628
P016,P017,2026-03-09,191
P002,P017,2026-01-11,220
P003,P020,2026-01-09,721
P008,P013,2026-01-16,613
P008,P019,2026-03-18,70
P020,P003,2026-02-23,703
P017,P011,2026-02-03,239
P022,P023,2026-02-10,274
P009,P013,2026-01-17,717
P021,P010,2026-02-28,353
P025,P003,2026-01-02,499
P020,P019,2026-01-13,105
P018,P007,2026-03-06,301
P005,P012,2026-01-09,280
P012,P010,2026-01-21,478
P018,P023,2026-02-08,656
P026,P021,2026-03-09,38
P022,P018,2026-02-08,709
P004,P005,2026-02-03,148
P004,P024,2026-03-12,189
P009,P010,2026-03-19,245
P023,P011,2026-01-27,733
P021,P009,2026-03-06,530
P009,P002,2026-01-12,679
P014,P009,2026-01-06,33
P011,P025,2026-01-17,682
P009,P006,2026-02-26,594
P023,P014,2026-03-13,39
P004,P003,2026-03-30,182
P018,P002,2026-02-17,626
P018,P005,2026-02-25,160
P002,P010,2026-02-16,845
P002,P012,2026-01-27,728
P008,P022,2026-01-14,392
P025,P018,2026-02-22,665
P024,P005,2026-01-31,196
P006,P014,2026-01-04,213
P024,P011,2026-02-22,851
P022,P024,2026-02-01,303
P006,P026,2026-03-31,140
P013,P002,2026-03-02,257
P007,P015,2026-02-14,342
P026,P008,2026-01-29,54
P022,P007,2026-02-21,366
P009,P003,2026-02-05,389
P021,P017,2026-02-21,725
